"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region","Region1","valorUFm2"
"37","5054707","2",NA,147,50,"1","UF 3.400,00","105185630","3400.00","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",23.1292517006803
"38","5058991","3",NA,350,100,"3","UF 6.100,00","188715395","6100.00","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",17.4285714285714
"39","5449794","3",NA,150,65,"3","$ 105.000.000"," 105000000","3393.9997317124","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",22.6266648780827
"40","5625104","5",NA,180,190,"2","$ 125.000.000"," 125000000","4040.47587108619","2021-12-16","Venta Nueva","Casa","region-metropolitana-de-santiago-rm","RM",22.4470881727011
"41","2988676","16",NA,890,389,"3","$ 358.000.000"," 358000000","11571.9228947909","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",13.0021605559448
"42","6177664","3",NA,111.04,91.09,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",40.7540793913593
"43","6177562","3",NA,100,64,"2","UF 2.861,00","88510613.95","2861.00","2021-12-15","Venta Nueva","Casa","region-metropolitana-de-santiago-rm","RM",28.61
"44","6112557","2",NA,NA,54,"1","$ 45.000.000"," 45000000","1454.57131359103","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",NA
"45","4842547","3",NA,265,103,NA,"UF 5.400,00","167059530","5400.00","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",20.377358490566
"46","4574710","3",NA,320,160,"3","UF 5.800,00","179434310","5800.00","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",18.125
"47","6171480","3",NA,137,43,"2","$ 89.000.000"," 89000000","2876.81882021337","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",20.9986775198056
"48","6171409","2",NA,128,56,"2","$ 82.000.000"," 82000000","2650.55217143254","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",20.7074388393167
"49","6171381","4",NA,263,128,"2","UF 5.190,00","160562770.5","5190.00","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",19.7338403041825
"50","6005170","4",NA,573,105,"5","$ 95.000.000"," 95000000","3070.76166202551","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",5.35909539620508
"51","6067888","2",NA,180,100,"1","UF 4.500,00","139216275","4500.00","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",25
