"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region"
"1","6215542","4",NA,225,197,NA,"UF 4.350,00","134575732.5","4350.00","2021-12-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"2","5656304","3",NA,400,135,"3","UF 8.590,00","265748400.5","8590.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"3","5680194","4",NA,220,130,"2","UF 6.980,00","215939911","6980.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"4","5846290","4",NA,300,170,"2","UF 8.750,00","270698312.5","8750.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"5","5985838","4",NA,300,150,"2","UF 9.100,00","281526245","9100.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"6","6024178","4",NA,200,150,"2","UF 5.950,00","184074852.5","5950.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"7","6030203","3",NA,300,128,"2","UF 8.200,00","253682990","8200.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"8","6059114","3",NA,454,145,"2","UF 9.250,00","286166787.5","9250.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"9","6206208","3",NA,NA,126,"2","UF 16.800,00","519740760","16800.00","2021-12-22","Venta Nueva","Casa","region-metropolitana-de-santiago-rm"
"10","5676395","3",NA,159.6,282,"3","UF 12.620,00","390424309","12620.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"11","4908368","4",NA,470,190,"2","UF 14.000,00","433117300","14000.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"12","5857769","6",NA,2000,550,"3","$ 560.000.000"," 560000000","18101.3319024661","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"13","5933236","3",NA,140,89,"2","$ 150.000.000"," 150000000","4848.57104530343","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"14","6205525","4",NA,162,150,"2","$ 120.000.000"," 120000000","3878.85683624275","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"15","5389917","5",NA,212,108,"4","$ 85.000.000"," 85000000","2747.52359233861","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"16","6176889","4",NA,233,68.72,"1","UF 5.000,00","154684750","5000.00","2021-12-21","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
